id,segment,start_sec,end_sec,score
p59ZDdxszkk,12,69.36,75.14,0.656987586529946
p59ZDdxszkk,13,75.14,80.92,0.7258074055412135
p59ZDdxszkk,14,80.92,86.7,0.699321137156268
p59ZDdxszkk,15,86.7,92.48,0.6788384418456075
p59ZDdxszkk,16,92.48,98.26,0.5592285482455133
p59ZDdxszkk,17,98.26,104.04,0.39159627392056956
p59ZDdxszkk,18,104.04,109.82,0.23047516735824056
p59ZDdxszkk,19,109.82,115.6,0.13537020350050674
p59ZDdxszkk,20,115.6,121.38,0.13524388090201425
p59ZDdxszkk,21,121.38,127.16,0.106343509668376
p59ZDdxszkk,22,127.16,132.94,0.06122294455613707
p59ZDdxszkk,23,132.94,138.72,0.026741158791819472
p59ZDdxszkk,24,138.72,144.5,0.03400792830879388
p59ZDdxszkk,25,144.5,150.28,0.05899670078223703
p59ZDdxszkk,26,150.28,156.06,0.11824492415651452
p59ZDdxszkk,27,156.06,161.84,0.22966783714972733
p59ZDdxszkk,28,161.84,167.62,0.2191112147584027
p59ZDdxszkk,29,167.62,173.4,0.14987183692024322
p59ZDdxszkk,30,173.4,179.18,0.348857049317985
p59ZDdxszkk,31,179.18,184.96,0.5420634459682264
p59ZDdxszkk,32,184.96,190.74,0.5610500043102121
p59ZDdxszkk,33,190.74,196.52,0.23603720218250945
p59ZDdxszkk,34,196.52,202.3,0.1005100703276547
p59ZDdxszkk,35,202.3,208.08,0.07632472848765438
p59ZDdxszkk,36,208.08,213.86,0.04415066398241977
p59ZDdxszkk,37,213.86,219.64,0.03466290920944328
p59ZDdxszkk,38,219.64,225.42,0.03855536460111099
p59ZDdxszkk,39,225.42,231.2,0.049657838875584705
p59ZDdxszkk,40,231.2,236.98,0.09255995936406439
p59ZDdxszkk,41,236.98,242.76,0.14081601917078373
p59ZDdxszkk,42,242.76,248.54,0.1123742320569768
p59ZDdxszkk,43,248.54,254.32,0.10395658567623448
p59ZDdxszkk,44,254.32,260.1,0.05092478718216765
p59ZDdxszkk,45,260.1,265.88,0.009096054274049492
p59ZDdxszkk,46,265.88,271.66,0.0
p59ZDdxszkk,47,271.66,277.44,0.015363025918998382
p59ZDdxszkk,48,277.44,283.22,0.029693993844934343
p59ZDdxszkk,49,283.22,289.0,0.02373700887584645
p59ZDdxszkk,50,289.0,294.78,0.007680922114791555
p59ZDdxszkk,51,294.78,300.56,0.01691077317288512
p59ZDdxszkk,52,300.56,306.34,0.011081824251941855
p59ZDdxszkk,53,306.34,312.12,0.03239459729235959
p59ZDdxszkk,54,312.12,317.9,0.07418353680941848
p59ZDdxszkk,55,317.9,323.68,0.19720659257434645
p59ZDdxszkk,56,323.68,329.46,0.20158067502944327
p59ZDdxszkk,57,329.46,335.24,0.12977292478942737
p59ZDdxszkk,58,335.24,341.02,0.05116186362110641
p59ZDdxszkk,59,341.02,346.8,0.046158383841200794
p59ZDdxszkk,60,346.8,352.58,0.08434904954652374
p59ZDdxszkk,61,352.58,358.36,0.3321784485729653
p59ZDdxszkk,62,358.36,364.14,0.17564909165602605
p59ZDdxszkk,63,364.14,369.92,0.11505985759106349
p59ZDdxszkk,64,369.92,375.7,0.05962857965481789
p59ZDdxszkk,65,375.7,381.48,0.05055193462941422
p59ZDdxszkk,66,381.48,387.26,0.07202872616067159
p59ZDdxszkk,67,387.26,393.04,0.1337507867835838
p59ZDdxszkk,68,393.04,398.82,0.36464672420036703
p59ZDdxszkk,69,398.82,404.6,0.5424079084327779
p59ZDdxszkk,70,404.6,410.38,0.5428689445581459
p59ZDdxszkk,71,410.38,416.16,0.30992215561892433
p59ZDdxszkk,72,416.16,421.94,0.16058716020003874
p59ZDdxszkk,73,421.94,427.72,0.1258184897879287
p59ZDdxszkk,74,427.72,433.5,0.2304134831707634
p59ZDdxszkk,75,433.5,439.28,0.39864889177326146
p59ZDdxszkk,76,439.28,445.06,0.558280537912112
p59ZDdxszkk,77,445.06,450.84,1.0
p59ZDdxszkk,78,450.84,456.62,0.4927346485103239
p59ZDdxszkk,79,456.62,462.4,0.4122073007017285
p59ZDdxszkk,80,462.4,468.18,0.3501768782259013
p59ZDdxszkk,81,468.18,473.96,0.22520217376494697
p59ZDdxszkk,82,473.96,479.74,0.22457812358474227
p59ZDdxszkk,83,479.74,485.52,0.1863564385322685
p59ZDdxszkk,84,485.52,491.3,0.2207746198638091
p59ZDdxszkk,85,491.3,497.08,0.1966289827881619
p59ZDdxszkk,86,497.08,502.86,0.13762622584767162
